City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Cedar Rapids,320 CHERRY PARK DR NW,Residential,Single Family,New,72348,,8-Mar-16,Linn
Cedar Rapids,3201 RIMROCK CT NE,Residential,Single Family,New,141126,,9-Mar-16,Linn
Cedar Rapids,3204 CIRCLE DR NE,Residential,Single Family,New,155430,,3-Jun-16,Linn
Cedar Rapids,3205 WILLIAMS BLVD SW,Commercial,Commercial,New,850000,,11-May-16,Linn
Cedar Rapids,321 GREY SLATE DR SW,Residential,Single Family,New,109834,RIVERHILL,6-Apr-16,Linn
Cedar Rapids,3223 1ST AVE SE,Commercial,Commercial,Alteration,75000,AMERIHEALTH CARITAS,10-Mar-16,Linn
Cedar Rapids,323 3RD ST SE,Commercial,Commercial,Alteration,3300000,CORNERSTONE PLACE LC,26-Feb-16,Linn
Cedar Rapids,323 3RD ST SE,Commercial,Commercial,Alteration,400000,CORNERSTONE PLACE LC,22-Mar-16,Linn
Cedar Rapids,3235 PRAIRIE VALLEY CT SW,Commercial,Commercial,New,6712690,PRAIRIE VALLEY WAREHOUSE,13-May-16,Linn
Cedar Rapids,3235 PRAIRIE VALLEY CT SW,Commercial,Commercial,Alteration,434000,PRAIRIE VALLEY WAREHOUSE,16-Jun-16,Linn
Cedar Rapids,3303 CEDAR RIVER CT NE,Residential,Single Family,New,126200,,14-Jan-16,Linn
Cedar Rapids,3311 CEDAR RIVER CT NE,Residential,Single Family,New,173968,,15-Mar-16,Linn
Cedar Rapids,335 FRENCH CT SW,Commercial,Commercial,New,2281500,,,Linn
Cedar Rapids,335 FRENCH CT SW,Commercial,Commercial,New,450000,,18-Apr-16,Linn
Cedar Rapids,335 FRENCH CT SW,Commercial,Commercial,Addition,250000,Miron Headquarters,20-Apr-16,Linn
Cedar Rapids,3400 EDGEWOOD RD SW,Commercial,Commercial,Alteration,3640084,TARGET REMODEL - EDGEWOOD,4-May-16,Linn
Cedar Rapids,3401 E AVE NW,Commercial,Commercial,New,675000,POPEYE'S,7-Jan-16,Linn
Cedar Rapids,341 EDGEWOOD RD NW,Commercial,Commercial,Alteration,55000,,3-Mar-16,Linn
Cedar Rapids,3421 USHERS RIDGE BLVD NE,Residential,Single Family,New,148976,,28-Jan-16,Linn
Cedar Rapids,3475 WESTDALE DR SW,Commercial,Commercial,New,300000,BURLINGTON COAT FACTORY,8-Mar-16,Linn
Cedar Rapids,3475 WESTDALE DR SW,Commercial,Commercial,Alteration,300000,BURLINGTON COAT FACTORY,21-Apr-16,Linn
Cedar Rapids,3475 WESTDALE DR SW,Commercial,Commercial,Alteration,200000,BURLINGTON COAT FACTORY,21-Apr-16,Linn
Cedar Rapids,3475 WESTDALE DR SW,Commercial,Commercial,Addition,100000,,24-Mar-16,Linn
Cedar Rapids,3475 WESTDALE DR SW,Commercial,Commercial,Alteration,70000,BURLINGTON COAT FACTORY,21-Apr-16,Linn
Cedar Rapids,3524 PIONEER AVE SE,Residential,Multi Family,New,169600,OAKRIDGE DUPLEX II,10-May-16,Linn
Cedar Rapids,3524 PIONEER AVE SE,Residential,Single Family,New,169600,,27-May-16,Linn
Cedar Rapids,3525 1ST AVE SE,Commercial,Commercial,Alteration,86750,,2-May-16,Linn
Cedar Rapids,3560 WILLIAMS PARKWAY SW,Commercial,Commercial,New,595000,HEARTLAND RETAIL BUILDING,22-Jul-16,Linn
Cedar Rapids,3600 ROYAL DR SW,Residential,Single Family,New,107892,,15-Jun-16,Linn
Cedar Rapids,3602 FOREST VALLEY CT NE,Residential,Single Family,New,72348,,8-Mar-16,Linn
Cedar Rapids,3608 FOREST VALLEY CT NE,Residential,Single Family,New,68668,,25-May-16,Linn
Cedar Rapids,361 17TH ST SE,Commercial,Commercial,Alteration,100000,,19-Jan-16,Linn
Cedar Rapids,3611 SPRING VALLEY PL NE,Residential,Single Family,New,149770,BIRCH III,2-Mar-16,Linn
Cedar Rapids,3614 FOREST VALLEY CT NE,Residential,Single Family,New,115984,,8-Jan-16,Linn
Cedar Rapids,3616 SPRING VALLEY PL NE,Residential,Single Family,New,170000,,8-Jul-16,Linn
Cedar Rapids,3617 FOREST VALLEY CT NE,Residential,Single Family,New,68668,,25-May-16,Linn
Cedar Rapids,3620 EDGEWOOD RD SW,Commercial,Commercial,Alteration,75000,MAURICES (EDGEWOOD RD),3-Jun-16,Linn
Cedar Rapids,3700 EDGEWOOD RD SW,Commercial,Commercial,Addition,118000,LINN AREA CREDIT UNION - IT ADDITION,5-Feb-16,Linn
Cedar Rapids,3700 SIXTH ST SW,Commercial,Commercial,Alteration,500000,,27-Jul-16,Linn
Cedar Rapids,3730 WILLIAMS BLVD SW,Commercial,Commercial,New,1540000,KWIK STAR FUEL CANOPY- WILLIAMS,5-Feb-16,Linn
Cedar Rapids,3730 WILLIAMS BLVD SW,Commercial,Commercial,New,1440000,KWIK STAR CONVENIENCE STORE - WILLIAMS,18-May-16,Linn
Cedar Rapids,3730 WILLIAMS BLVD SW,Commercial,Commercial,New,330000,KWIK STAR CONVENIENCE STORE - WILLIAMS,21-Apr-16,Linn
Cedar Rapids,3912 OAK RIDGE DR SE,Residential,Single Family,New,116900,,14-Jan-16,Linn
Cedar Rapids,400 1ST AVE NE,Commercial,Commercial,Alteration,1125000,FIVE SEASONS PARKADE (REPAIRS),17-Mar-16,Linn
Cedar Rapids,400 COLLINS RD NE,Commercial,Commercial,Alteration,590000,Rockwell Paving Bldg 124,12-Apr-16,Linn
Cedar Rapids,401 76TH AVE SW,Commercial,Commercial,Alteration,131224,PRAIRIE VIEW  - BATHROOM REMODEL,25-May-16,Linn
Cedar Rapids,401 76TH AVE SW,Commercial,Commercial,Alteration,107365,PRAIRIE VIEW  - BATHROOM REMODEL,25-May-16,Linn
Cedar Rapids,401 76TH AVE SW,Commercial,Commercial,Alteration,73893,,31-Mar-16,Linn
Cedar Rapids,4010 WINDHAM WOODS CT SE,Residential,Single Family,New,117898,,20-Apr-16,Linn
Cedar Rapids,4028 WINDHAM WOODS CT SE,Residential,Single Family,New,92144,,21-Apr-16,Linn
Cedar Rapids,4050 RIVER RIDGE DR NE,Commercial,Commercial,Alteration,77979,,4-May-16,Linn
Cedar Rapids,4106 LAKEVIEW DR SW,Residential,Multi Family,New,181800,,10-May-16,Linn
Cedar Rapids,4120 WINDHAM WOODS CT SE,Residential,Single Family,New,93532,,20-Apr-16,Linn
Cedar Rapids,4141 JOHNSON AVE NW,Commercial,Commercial,Alteration,126000,HOOVER ELMENTARY - RESTROOM REMODEL,1-Jun-16,Linn
Cedar Rapids,415 12TH AVE SE,Commercial,Commercial,Alteration,225000,THE VAULT 2,21-Jul-16,Linn
Cedar Rapids,415 THIRD ST SE,Commercial,Commercial,Alteration,650000,SOKOL - BASEMENT & MAIN LEVEL REMODEL,25-Apr-16,Linn
Cedar Rapids,415 THIRD ST SE,Commercial,Commercial,Alteration,501000,SOKOL REMODEL 2ND & 3RD FLOORS,23-Feb-16,Linn
Cedar Rapids,415 THIRD ST SE,Commercial,Commercial,Alteration,66529,SOKOL - BASEMENT & MAIN LEVEL REMODEL,14-Jun-16,Linn
Cedar Rapids,415 THIRD ST SE,Commercial,Commercial,Alteration,66529,SOKOL REMODEL 2ND & 3RD FLOORS,14-Jun-16,Linn
Cedar Rapids,418 SECOND ST NE,Commercial,Commercial,Alteration,82120,QUAKER MANUFACTURING,6-Jul-16,Linn
Cedar Rapids,4190 BLAIRS FERRY RD NE,Residential,Single Family,New,166616,,20-Jul-16,Linn
Cedar Rapids,420 12TH AVE SE,Commercial,Commercial,New,1890000,THE DEPOT - BUILDING B,12-Feb-16,Linn
Cedar Rapids,4200 C ST SW,Commercial,Commercial,Addition,1984000,V SPEC,15-Jul-16,Linn
Cedar Rapids,423 ROSEDALE RD,Residential,Single Family,New,286625,ANTON GOLOBIC 2011 REV TRUST,17-Jun-16,Linn
Cedar Rapids,427 8TH ST NW,Commercial,Commercial,Alteration,225225,,28-Apr-16,Linn
Cedar Rapids,430 16TH AVE SW,Commercial,Commercial,Alteration,248000,LITTLE GEMS,26-Apr-16,Linn
Cedar Rapids,430 16TH AVE SW,Commercial,Commercial,Alteration,150000,,18-Jul-16,Linn
Cedar Rapids,430 9TH AVE SW,Residential,Single Family,New,66246,MALLORY 3 BED W/ ATT GARAGE (W/ WOOD FRONT PORCH),1-Jul-16,Linn
Cedar Rapids,4300 FAWN HILL CT SE,Residential,Single Family,New,184576,,6-Apr-16,Linn
Cedar Rapids,4325 WILLIAMS BLVD SW,Commercial,Commercial,New,54000,UnityPoint Health Clinic,16-May-16,Linn
Cedar Rapids,4325 WILLIAMS BLVD SW,Commercial,Commercial,New,3371800,UNITY POINT (4325 WILLIAMS BLVD SW),28-Jun-16,Linn
Cedar Rapids,4330 FAWN HILL CT SE,Residential,Single Family,New,137426,,2-Mar-16,Linn
Cedar Rapids,4366 PIONEER TRL SE,Residential,Single Family,New,178152,,8-Jan-16,Linn
Cedar Rapids,4444 1ST AVE NE,Commercial,Commercial,New,1681551,LINDALE MALL - NEW FREE STANDING BLDG,28-Mar-16,Linn
Cedar Rapids,4444 1ST AVE NE,Commercial,Commercial,New,125000,LINDALE MALL - NEW FREE STANDING BLDG,8-Apr-16,Linn
Cedar Rapids,4444 1ST AVE NE,Commercial,Commercial,Alteration,160000,LINDALE MALL - TORRID (SPACE #5539),28-Jun-16,Linn
Cedar Rapids,"4444 1ST AVE NE
Suite: STE #702",Commercial,Commercial,New,279140,KIRKLAND'S,25-Jul-16,Linn
Cedar Rapids,"4444 1ST AVE NE
Suite: STE #705",Commercial,Commercial,Alteration,310000,CARTER'S SIDE BY SIDE,18-Jul-16,Linn
Cedar Rapids,447 68TH AVE SW,Residential,Single Family,New,74480,,18-Mar-16,Linn
Cedar Rapids,449 68TH AVE SW,Residential,Single Family,New,69582,NICOLE (W/ 528 SF ATT GARAGE),19-Apr-16,Linn
Cedar Rapids,450 1ST ST SW,Commercial,Commercial,Alteration,5747428,THE METROPOLITAN - INTERIOR & EXTERIOR FINISHES,27-May-16,Linn
Cedar Rapids,450 1ST ST SW,Commercial,Commercial,New,2225000,THE METROPOLITAN,24-Mar-16,Linn
Cedar Rapids,453 9TH AVE SW,Residential,Single Family,New,57860,B660,6-Jul-16,Linn
Cedar Rapids,460 12TH AVE SE,Commercial,Commercial,New,2398000,THE DEPOT - BUILDING A,4-Apr-16,Linn
Cedar Rapids,460 12TH AVE SE,Commercial,Commercial,Alteration,180000,THE DEPOT - BUILDING A,22-Mar-16,Linn
Cedar Rapids,"460 12TH AVE SE
Suite: STE 200",Commercial,Commercial,Alteration,308000,COLLECTIVE DATA,3-May-16,Linn
Cedar Rapids,"460 12TH AVE SE
Suite: STE 200",Commercial,Commercial,Alteration,109000,COLLECTIVE DATA,24-May-16,Linn
Cedar Rapids,4600 20TH AVE SW,Commercial,Commercial,Addition,725000,MW3PL WAREHOUSE EXPANSION,19-Feb-16,Linn
Cedar Rapids,4601 1ST AVE SE,Commercial,Commercial,Alteration,184162,DICK'S SPORTING GOODS (FOOTWEAR REMODEL),13-Jun-16,Linn
Cedar Rapids,4631 PRAIRIE GRASS CT NE,Residential,Single Family,New,139456,,25-Apr-16,Linn
Cedar Rapids,4690 20TH AVE SW,Commercial,Commercial,Addition,2476995,MW3PL WAREHOUSE EXPANSION,20-Apr-16,Linn
Cedar Rapids,4700 TAMA ST SE,Commercial,Commercial,Alteration,60000,,8-Feb-16,Linn
Cedar Rapids,4725 LEPRECHAUN LN,Residential,Single Family,Addition,61742,HALLAM EZRA A,20-Apr-16,Linn
Cedar Rapids,4800 EDGEWOOD RD SW,Commercial,Commercial,Addition,100000,GENERAL MILLS - WASTEWATER BLDG,2-May-16,Linn
Cedar Rapids,4800 EDGEWOOD RD SW,Commercial,Commercial,Alteration,70500,,6-Apr-16,Linn
Cedar Rapids,4800 EDGEWOOD RD SW,Commercial,Commercial,Alteration,50000,GENERAL MILLS - WASTEWATER BLDG,3-May-16,Linn
Cedar Rapids,4800 EDGEWOOD RD SW,Commercial,Commercial,Alteration,223989,,15-Jun-16,Linn
Cedar Rapids,4800 EDGEWOOD RD SW,Commercial,Commercial,Alteration,425000,CO-GENERATION POWER PLANT,5-Jul-16,Linn
Cedar Rapids,4801 1ST AVE SE,Commercial,Commercial,Alteration,60000,ALL ABOUT EYES,16-Mar-16,Linn
Cedar Rapids,4805 BOWLING ST SW,Commercial,Commercial,Addition,5138574,APACHE HOSE (ADDITION),2-Feb-16,Linn
Cedar Rapids,4820 INDIAN SUMMER LN SW,Residential,Single Family,New,201982,,26-Feb-16,Linn
Cedar Rapids,"4900 BOWLING ST SW, Suite: 100",Commercial,Commercial,Alteration,232719,POINT BUILDERS - INTERIOR SUITE 100,23-Mar-16,Linn
Cedar Rapids,4900 COUNCIL ST NE,Commercial,Commercial,New,65000,,24-Jun-16,Linn
Cedar Rapids,4907 KEYSTONE RIDGE SE,Residential,Single Family,New,200746,,28-Jul-16,Linn
Cedar Rapids,500 1ST ST SE,Commercial,Commercial,Alteration,1236000,TRUE NORTH - 2ND FLOOR,2-Feb-16,Linn
Cedar Rapids,5000 20TH AVE SW,Commercial,Commercial,Alteration,725000,MW3PL WAREHOUSE EXPANSION,4-Apr-16,Linn
Cedar Rapids,5005 NORTH RIVER BLVD NE,Commercial,Commercial,Alteration,1091000,TOYOTA FINANCIAL SERVICES,27-Jul-16,Linn
Cedar Rapids,5020 INDIAN SUMMER LN SW,Residential,Single Family,New,198452,,18-Apr-16,Linn
Cedar Rapids,504 C AVE NW,Residential,Single Family,New,79496,,23-Mar-16,Linn
Cedar Rapids,507 7TH AVE SW,Residential,Single Family,New,63692,,23-Feb-16,Linn
Cedar Rapids,5075 DEER VIEW RD,Residential,Single Family,New,302934,TILLMAN BRITTANY L REV TRUST,27-Apr-16,Linn
Cedar Rapids,508 C AVE NW,Residential,Single Family,New,80920,,23-Mar-16,Linn
Cedar Rapids,509 3RD ST SE,Commercial,Commercial,New,2000000,VERITAS CHURCH,26-May-16,Linn
Cedar Rapids,509 3RD ST SE,Commercial,Commercial,Alteration,180000,VERITAS CHURCH,15-Jan-16,Linn
Cedar Rapids,5100 CENTER POINT RD NE,Commercial,Commercial,Alteration,50000,JIM MILLER,29-Jan-16,Linn
Cedar Rapids,5100 FOUNTAINS DR NE,Commercial,Commercial,Alteration,101000,SAUCY FOCACCIA,6-Jan-16,Linn
Cedar Rapids,5101 KEYSTONE RIDGE SE,Residential,Single Family,Alteration,53960,,21-Mar-16,Linn
Cedar Rapids,5160 16TH AVE SW,Commercial,Commercial,New,202416,,25-Jan-16,Linn
Cedar Rapids,519 7TH AVE SW,Residential,Single Family,New,59608,HAWK II,16-Feb-16,Linn
Cedar Rapids,"5200 FOUNTAINS DR NE, Suite: STE 100 & 102",Commercial,Commercial,New,700000,TANNER'S BAR AND GRILL,13-Jan-16,Linn
Cedar Rapids,5200 KEYSTONE RIDGE SE,Residential,Single Family,New,218840,,25-Jul-16,Linn
Cedar Rapids,5224 RUHD ST SW,Residential,Single Family,New,69976,,7-Jul-16,Linn
Cedar Rapids,521 8TH AVE SE,Commercial,Commercial,Alteration,181281,,12-Jul-16,Linn
Cedar Rapids,5220 INDIAN SUMMER CT SW,Residential,Single Family,New,175608,,18-Jan-16,Linn
Cedar Rapids,523 STONE HEDGE DR NW,Residential,Single Family,New,177614,,27-May-16,Linn
Cedar Rapids,523 STONE HEDGE DR NW,Residential,Multi Family,New,177630,,7-Jun-16,Linn
Cedar Rapids,528 GREENFIELD ST NE,Residential,Single Family,New,70240,,18-May-16,Linn
Cedar Rapids,5300 C AVE NE,Commercial,Commercial,Alteration,198000,,6-Jul-16,Linn
Cedar Rapids,5309 DOSTAL DR SW,Residential,Multi Family,New,128616,WELLINGTON D 2/1,14-Apr-16,Linn
Cedar Rapids,5310 DOSTAL DR SW,Residential,Multi Family,New,128616,WELLINGTON D 2/1,26-Apr-16,Linn
Cedar Rapids,5312 DOSTAL DR SW,Residential,Multi Family,New,128616,,18-May-16,Linn
Cedar Rapids,5315 DOSTAL DR SW,Residential,Multi Family,New,128616,WELLINGTON D 2/1,23-Mar-16,Linn
Cedar Rapids,5316 DOSTAL DR SW,Residential,Multi Family,New,128616,WELLINGTON D 2/1,26-Apr-16,Linn
Cedar Rapids,5317 DOSTAL DR SW,Residential,Multi Family,New,128616,WELLINGTON D 2/1,15-Mar-16,Linn
Cedar Rapids,5320 DOSTAL DR SW,Residential,Multi Family,New,129096,WELLINGTON D 2/1,21-Jun-16,Linn
Cedar Rapids,5350 KIRKWOOD BLVD SW,Commercial,Commercial,Alteration,175000,DR ROBERT KINGUS,29-Apr-16,Linn
Cedar Rapids,5350 KIRKWOOD BLVD SW,Commercial,Commercial,Alteration,175000,DR ROBERT KINGUS,23-Feb-16,Linn
Cedar Rapids,5400 KIRKWOOD BLVD SW,Commercial,Commercial,Addition,214000,FOUR OAKS - NEW BUILDING,23-May-16,Linn
Cedar Rapids,5405 42ND ST NE,Commercial,Commercial,Addition,50000,IZAAK WALTON LEAGUE,19-May-16,Linn
Cedar Rapids,5405 DOSTAL DR SW,Residential,Single Family,New,70728,,25-Feb-16,Linn
Cedar Rapids,5407 DOSTAL DR SW,Residential,Single Family,New,70728,,25-Feb-16,Linn
Cedar Rapids,5408 RIVER PKWY NE,Residential,Single Family,New,200662,,14-Jan-16,Linn
Cedar Rapids,5414 RIVER PKWY NE,Residential,Single Family,New,180016,,4-Feb-16,Linn
Cedar Rapids,5450 LOCUST RD SW,Commercial,Commercial,New,341700,ADM - FOUNDATION FOR TURBINE,16-Mar-16,Linn
Cedar Rapids,550 2ND ST SE,Commercial,Commercial,Alteration,450000,INTERMEC BUILDOUT,21-Jul-16,Linn
Cedar Rapids,5515 COUNCIL ST NE,Commercial,Commercial,Alteration,85000,AR-JAY CENTER REMODEL,16-May-16,Linn
Cedar Rapids,5549 6TH ST SW,Commercial,Commercial,New,750000,FUTURE LINE - MFG BUILDING,29-Mar-16,Linn
Cedar Rapids,5549 6TH ST SW,Commercial,Commercial,New,400000,FUTURE LINE - MFG BUILDING,29-Mar-16,Linn
Cedar Rapids,5549 6TH ST SW,Commercial,Commercial,Addition,54000,FUTURE LINE - MFG BUILDING,29-Apr-16,Linn
Cedar Rapids,5608 RIVER PKWY NE,Residential,Single Family,Alteration,84860,,5-May-16,Linn
Cedar Rapids,"568 BOYSON RD NE, Suite 190",Commercial,Commercial,Alteration,75000,PANKEYS BURGER,4-Jan-16,Linn
Cedar Rapids,5710 RIVER PKWY NE,Residential,Single Family,New,237498,,29-Jan-16,Linn
Cedar Rapids,5730 COUNTRY LN NE,Residential,Single Family,Addition,91840,,27-May-16,Linn
Cedar Rapids,5900 6TH ST SW,Commercial,Commercial,Alteration,59000,,31-May-16,Linn
Cedar Rapids,5915 SANDEN RD NE,Residential,Single Family,New,172246,,27-May-16,Linn
Cedar Rapids,5977 MOUNT VERNON RD SE,Commercial,Commercial,Addition,125000,STEPHEN & SONS LLC,6-Apr-16,Linn
Cedar Rapids,5990 MEADOW GRASS CIRCLE SE,Residential,Single Family,New,82477,MIDWEST DEVELOPMENT CO,14-Mar-16,Linn
Cedar Rapids,5998 MEADOW GRASS CIR SE,Residential,Single Family,New,89388,MIDWEST DEVELOPMENT CO,14-Mar-16,Linn
Cedar Rapids,600 1ST ST SE,Commercial,Commercial,Alteration,238000,BLACK SHEEP BREWERY,1-Mar-16,Linn
Cedar Rapids,"600 1ST ST SE
Suite: UNIT 2B",Commercial,Commercial,Alteration,122250,FURNITURE MART (UNIT 2B),3-May-16,Linn
Cedar Rapids,"600 1ST ST SE, Suite: 2C ",Commercial,Commercial,Alteration,137000,FURNITURE MART - CONDO 2D,23-Feb-16,Linn
Cedar Rapids,"600 1ST ST SE, Suite: 2D ",Commercial,Commercial,Alteration,96000,FURNITURE MART - CONDO 2D,12-Jan-16,Linn
Cedar Rapids,"600 1ST ST SE, Suite: 2E",Commercial,Commercial,Alteration,145000,FURNITURE MART - CONDO 2E,12-Jan-16,Linn
Cedar Rapids,600 36TH ST SE,Commercial,Commercial,Alteration,193000,,25-Jul-16,Linn
Cedar Rapids,6001 RIDGEWOOD MEADOWS LN NE,Residential,Single Family,New,60556,,7-Jun-16,Linn
Cedar Rapids,6006 SANDEN RD NE,Residential,Single Family,New,131166,,30-Jun-16,Linn
Cedar Rapids,6015 HUNTINGTON CT NE,Commercial,Commercial,Alteration,104993,,9-Mar-16,Linn
Cedar Rapids,605 G AVE NW,Commercial,Commercial,Alteration,160000,,21-Jul-16,Linn
Cedar Rapids,606 2ND AVE SW,Residential,Multi Family,New,389400,Shamrock Village,23-Feb-16,Linn
Cedar Rapids,6060 HUNTINGTON CT NE,Commercial,Commercial,Alteration,100128,SECURITY COVERAGE,25-Jul-16,Linn
Cedar Rapids,607 STONE HEDGE DR NW,Residential,Multi Family,New,177824,,25-Feb-16,Linn
Cedar Rapids,6071 ROSEDALE CT,Residential,Single Family,New,155115,TIFFANY EARL WILLIAMS ,22-Jun-16,Linn
Cedar Rapids,611 2ND AVE SE,Commercial,Commercial,Alteration,50000,BLACKSTOCK MOTORCYCLE COMPANY,24-Feb-16,Linn
Cedar Rapids,6114 FOREST MEADOW CT NE,Residential,Single Family,New,126852,,30-Mar-16,Linn
Cedar Rapids,6136 RAPIDS RIDGE RD NE,Residential,Single Family,New,102598,,25-May-16,Linn
Cedar Rapids,615 NINTH AVE SE,Residential,Single Family,New,74330,,28-Jun-16,Linn
Cedar Rapids,615 6TH AVE SE,Commercial,Commercial,Alteration,178500,,12-Jul-16,Linn
Cedar Rapids,615 TIBURAN LN NE,Residential,Single Family,New,101670,,29-Mar-16,Linn
Cedar Rapids,619 9TH AVE SW,Residential,Single Family,New,56150,,20-Jun-16,Linn
Cedar Rapids,621 9TH AVE SE,Residential,Single Family,New,74330,,6-Jul-16,Linn
Cedar Rapids,6215 CASEY CT NE,Residential,Single Family,New,153918,,6-Apr-16,Linn
Cedar Rapids,6215 MICHAEL DR NE,Residential,Single Family,New,147336,,7-Jun-16,Linn
Cedar Rapids,6216 MICHAEL DR NE,Commercial,Commercial,New,218650,WEXFORD HEIGHTS LIFT STATION,16-Feb-16,Linn
Cedar Rapids,6225 1ST AVE SW,Commercial,Commercial,Alteration,126000,COOLIDGE ELEMENTARY - RESTROOM REMODEL,1-Jun-16,Linn
Cedar Rapids,6225 DEER STONE CT SW,Residential,Single Family,New,75924,SHELBY,17-Mar-16,Linn
Cedar Rapids,623 3RD AVE SW,Residential,Single Family,New,65490,,8-Mar-16,Linn
Cedar Rapids,627 TIBURAN LN NE,Residential,Single Family,New,130556,,22-Apr-16,Linn
Cedar Rapids,6300 MICHAEL DR NE,Residential,Single Family,New,143726,,22-Jul-16,Linn
Cedar Rapids,6301 KIRKWOOD BLVD SW,Commercial,Commercial,Alteration,180000,JOHNSON HALL - 2ND FLOOR REMODEL,18-Mar-16,Linn
Cedar Rapids,6303 DEER STONE DR SW,Residential,Single Family,New,73420,,18-Jan-16,Linn
Cedar Rapids,6309 MICHAEL DR NE,Residential,Single Family,New,164970,,27-Jul-16,Linn
Cedar Rapids,6315 MICHAEL DR NE,Residential,Single Family,New,167502,,14-Mar-16,Linn
Cedar Rapids,6318 MICHAEL DR NE,Residential,Single Family,New,110969,HAWTHORN (REVISED),4-Mar-16,Linn
Cedar Rapids,6318 RIDGEWOOD MEADOWS LN NE,Residential,Single Family,New,62428,,20-May-16,Linn
Cedar Rapids,6319 HOOVER TRAIL RD SW,Residential,Single Family,New,91342,,2-Jun-16,Linn
Cedar Rapids,6402 MICHAEL DR NE,Residential,Single Family,New,159282,,21-Jul-16,Linn
Cedar Rapids,6405 MICHAEL DR NE,Residential,Single Family,New,151198,,23-Feb-16,Linn
Cedar Rapids,6406 HARRISON RD SW,Residential,Single Family,New,92820,,25-Feb-16,Linn
Cedar Rapids,6410 7TH ST CT SW,Commercial,Commercial,Alteration,99000,TSF OFFICE SPACE,27-Jan-16,Linn
Cedar Rapids,6413 HOOVER TRAIL RD SW,Residential,Single Family,New,93260,COLONIAL SPLIT,5-May-16,Linn
Cedar Rapids,6414 MICHAEL DR NE,Residential,Single Family,New,138736,,25-Apr-16,Linn
Cedar Rapids,6415 USHERS RIDGE DR NE,Residential,Single Family,New,126614,,27-Jun-16,Linn
Cedar Rapids,6420 PRAIRIE SAGE DR SW,Residential,Single Family,New,75000,,23-May-16,Linn
Cedar Rapids,6503 HOOVER TRAIL RD SW,Residential,Single Family,New,131669,,26-Jul-16,Linn
Cedar Rapids,6506 MICHAEL DR NE,Residential,Single Family,New,122830,,22-Apr-16,Linn
Cedar Rapids,6518 MICHAEL DR NE,Residential,Single Family,New,138186,,14-Mar-16,Linn
Cedar Rapids,6521 UNDERWOOD AVE SW,Residential,Single Family,New,106169,,7-Jun-16,Linn
Cedar Rapids,6524 MICHAEL DR NE,Residential,Single Family,New,163874,,16-Jun-16,Linn
Cedar Rapids,6606 HOOVER TRAIL RD SW,Residential,Single Family,New,112352,,27-Jan-16,Linn
Cedar Rapids,6608 OHIO ST SW,Residential,Single Family,New,71160,,29-Jan-16,Linn
Cedar Rapids,6616 TOWER TERRACE RD,Residential,Single Family,New,183366,TIMM ANNETTE,21-Jul-16,Linn
Cedar Rapids,6900 STONE TERRACE DR SW,Residential,Single Family,New,105180,,24-May-16,Linn
Cedar Rapids,6901 COUNTRY RIDGE DR NW,Residential,Single Family,New,122200,,20-Apr-16,Linn
Cedar Rapids,6910 SPRING VALLEY CT NE,Residential,Single Family,New,191784,,20-Jun-16,Linn
Cedar Rapids,6912 STONE TERRACE DR SW,Residential,Single Family,New,100886,,27-Apr-16,Linn
Cedar Rapids,6918 STONE MEADOW DR SW,Residential,Single Family,New,99556,,24-Jun-16,Linn
Cedar Rapids,701 10TH ST SE,Commercial,Commercial,Alteration,396251,MERCY MEDICAL CENTER - EP LAB,22-Jan-16,Linn
Cedar Rapids,701 CENTER POINT RD NE,Commercial,Commercial,Alteration,50000,BRIDGEHAVEN PREGNANCY SUPPORT CENTER,18-Jan-16,Linn
Cedar Rapids,701 LIMEROCK DR NW,Residential,Single Family,New,67054,MAPLE,26-Feb-16,Linn
Cedar Rapids,701 TUSCANY CT NE,Residential,Single Family,New,146072,,19-Apr-16,Linn
Cedar Rapids,7011 COTTAGE RIDGE CT NE,Residential,Single Family,New,150308,,5-Jan-16,Linn
Cedar Rapids,702 L ST SW,Residential,Single Family,New,57860,B660,29-Jun-16,Linn
Cedar Rapids,706 L ST SW,Residential,Single Family,New,57860,B660,29-Jun-16,Linn
Cedar Rapids,708 3RD ST SE,Commercial,Commercial,New,1200000,IOWA BREWING COMPANY,1-Apr-16,Linn
Cedar Rapids,7100 COUNTRY RIDGE DR NW,Residential,Single Family,New,89400,,16-Mar-16,Linn
Cedar Rapids,7121 MOUNT VERNON RD SE,Commercial,Commercial,Alteration,140000,PIONEER AVENUE CONGREGATION,18-May-16,Linn
Cedar Rapids,718 2ND AVE SW,Residential,Single Family,New,67260,STONEBROOK ROOTS PLAN #1,26-Apr-16,Linn
Cedar Rapids,720 7TH AVE SW,Commercial,Commercial,Alteration,267000,TAYLOR ELEMENTARY - WINDOW & DOOR REPLACEMENT,1-Jun-16,Linn
Cedar Rapids,721 WESTLAND RD NW,Residential,Single Family,New,126932,,29-Jun-16,Linn
Cedar Rapids,723 8TH AVE SW,Residential,Single Family,Alteration,63624,,9-Mar-16,Linn
Cedar Rapids,735 PRAIRIE DR NE,Commercial,Commercial,Alteration,215000,,26-May-16,Linn
Cedar Rapids,7431 WESTFIELD DR NE,Residential,Single Family,New,101422,,8-Feb-16,Linn
Cedar Rapids,7503 MACON DR,Residential,Single Family,New,71534,LOAN AUDREY,8-Apr-16,Linn
