City,Address,Category,BuildingType,NewAlterationAddition,Valuation,PermitHolder,Issuance,County
Cedar Rapids,1220 1ST AVE NE,Commercial,Commercial,Addition,10974789,EBY FIELDHOUSE RENOVATIONS & ADDITIONS,22-Jul-16,Linn
Cedar Rapids,1220 PARK PL NE,Commercial,Commercial,Alteration,82000,LA QUINTA,18-Feb-16,Linn
Cedar Rapids,1221 PETRUS DR NE,Residential,Single Family,New,114008,MASON 1713,23-Mar-16,Linn
Cedar Rapids,1224 13TH ST NW,Commercial,Commercial,Addition,65000,METH-WICK DUMPSTER ENCLOSURE,2-May-16,Linn
Cedar Rapids,1225 13TH ST NW,Commercial,Commercial,Addition,3300000,Meth-Wick Oakwood,22-Jun-16,Linn
Cedar Rapids,1227 PETRUS DR NE,Residential,Single Family,New,115680,,27-Apr-16,Linn
Cedar Rapids,1230 COLLINS RD NE,Commercial,Commercial,Alteration,59839,HOLIDAY INN EXPRESS,22-Mar-16,Linn
Cedar Rapids,1237 4TH ST SW,Residential,Single Family,New,57200,,24-Mar-16,Linn
Cedar Rapids,1243 20TH ST SW,Commercial,Commercial,Alteration,308450,,17-Jun-16,Linn
Cedar Rapids,130 THOMPSON DR SE,Commercial,Commercial,Alteration,104000,,2-May-16,Linn
Cedar Rapids,1307 PETRUS DR NE,Residential,Single Family,New,126142,,29-Jun-16,Linn
Cedar Rapids,1314 PETRUS DR NE,Residential,Single Family,New,94402,YUMA,25-Feb-16,Linn
Cedar Rapids,1321 PETRUS DR NE,Residential,Single Family,New,114008,,25-Feb-16,Linn
Cedar Rapids,1322 9TH ST NW,Residential,Single Family,New,57860,,19-Feb-16,Linn
Cedar Rapids,1326 K ST SW,Residential,Single Family,Addition,58384,,6-Jan-16,Linn
Cedar Rapids,1327 PETRUS DR NE,Residential,Single Family,New,122978,,25-Feb-16,Linn
Cedar Rapids,1330 76TH AVE SW,Commercial,Commercial,New,60000,,4-May-16,Linn
Cedar Rapids,"1330 ELMHURST DR NE
Suite: DONNELLY CENTER",Commercial,Commercial,Alteration,363000,MT MERCY UNIVERSITY,17-May-16,Linn
Cedar Rapids,1340 11TH ST NW,Commercial,Commercial,Addition,3500000,NW Recreation Center - Harrison School,26-Jan-16,Linn
Cedar Rapids,1340 3RD AVE SE,Commercial,Commercial,Alteration,78500,,16-Feb-16,Linn
Cedar Rapids,1350 WACONIA AVE SW,Commercial,Commercial,Addition,200000,,13-Apr-16,Linn
Cedar Rapids,1350 WACONIA AVE SW,Commercial,Commercial,Addition,100000,ADM - MCC-W ADDITION,21-Jun-16,Linn
